"user_id","avg_price_by_user"
1,"301.50"
2,"295.00"
3,"538.50"
4,"164.50"
5,"51.00"
6,"814.50"
7,"496.50"
8,"348.00"
9,"633.67"
10,"233.83"
11,"600.00"
12,"368.62"
13,"347.00"
14,"513.50"
15,"348.20"
16,"193.00"
17,"469.86"
18,"254.50"
19,"298.33"
20,"350.67"
21,"413.43"
22,"214.50"
23,"131.00"
24,"75.00"
25,"479.25"
26,"889.00"
27,"505.75"
28,"605.67"
29,"433.83"
30,"386.67"
31,"321.67"
32,"415.50"
33,"373.33"
34,"651.75"
35,"416.00"
36,"379.00"
37,"222.50"
38,"354.80"
39,"347.42"
40,"481.50"
41,"217.50"
42,"859.00"
43,"122.00"
44,"441.33"
45,"566.67"
46,"481.00"
47,"307.00"
48,"350.50"
49,"349.00"
50,"506.80"
51,"136.50"
52,"276.00"
53,"467.43"
54,"284.00"
55,"289.00"
56,"260.00"
57,"276.80"
58,"498.33"
59,"335.43"
60,"433.17"
61,"353.71"
62,"291.00"
63,"146.75"
64,"398.60"
65,"363.00"
66,"136.00"
67,"407.75"
68,"390.00"
69,"461.71"
70,"313.00"
71,"386.50"
72,"250.00"
73,"524.00"
74,"437.67"
75,"371.25"
76,"273.00"
77,"495.00"
78,"794.50"
79,"470.13"
80,"358.56"
81,"896.50"
82,"855.00"
83,"135.50"
84,"297.67"
85,"366.40"
86,"458.00"
87,"797.50"
88,"200.00"
90,"543.00"
91,"243.83"
92,"328.71"
93,"626.00"
94,"563.00"
95,"429.00"
96,"75.00"
97,"407.67"
98,"347.50"
99,"459.38"
100,"297.50"
101,"333.71"
102,"577.00"
103,"671.33"
104,"478.50"
105,"411.17"
106,"253.33"
107,"438.50"
108,"502.00"
109,"597.67"
110,"329.50"
111,"424.00"
112,"506.00"
113,"346.67"
114,"181.50"
115,"231.50"
116,"231.50"
117,"214.00"
118,"220.30"
119,"317.67"
120,"311.75"
121,"458.75"
122,"292.33"
123,"397.43"
124,"500.00"
125,"426.67"
126,"380.00"
127,"217.67"
128,"267.00"
129,"322.20"
130,"612.00"
131,"447.67"
132,"190.00"
133,"438.17"
134,"187.00"
135,"416.00"
136,"308.33"
137,"486.43"
138,"330.67"
139,"419.33"
140,"493.50"
141,"440.33"
142,"397.75"
143,"468.00"
144,"395.50"
145,"261.00"
146,"458.00"
147,"214.40"
148,"293.43"
149,"359.60"
150,"309.33"
151,"352.00"
152,"449.40"
153,"360.00"
154,"487.50"
155,"282.67"
156,"580.00"
157,"387.40"
158,"393.14"
159,"548.25"
160,"590.33"
161,"402.80"
162,"454.80"
163,"231.00"
164,"638.50"
165,"152.50"
166,"323.00"
167,"330.20"
168,"516.50"
169,"638.00"
170,"459.25"
171,"397.67"
172,"295.00"
173,"451.71"
174,"174.00"
175,"328.50"
176,"241.25"
177,"836.00"
178,"390.86"
179,"491.00"
180,"457.14"
181,"491.00"
182,"241.00"
183,"588.00"
184,"319.00"
185,"210.50"
186,"449.00"
187,"620.00"
188,"401.33"
189,"276.00"
190,"454.00"
191,"725.40"
192,"356.38"
193,"448.60"
194,"328.75"
195,"181.00"
196,"512.50"
197,"439.22"
198,"358.00"
199,"373.00"
200,"429.40"
201,"510.50"
202,"769.17"
203,"288.33"
204,"525.00"
205,"480.20"
206,"367.13"
207,"414.00"
208,"198.00"
209,"404.33"
210,"395.40"
211,"550.60"
212,"380.13"
213,"516.78"
214,"484.00"
215,"381.60"
216,"259.50"
217,"533.80"
218,"421.00"
219,"515.80"
220,"444.50"
221,"472.67"
222,"477.00"
223,"396.29"
224,"663.17"
225,"534.50"
226,"191.33"
227,"330.64"
228,"454.00"
229,"105.00"
230,"400.57"
231,"401.25"
232,"367.50"
233,"543.50"
234,"349.13"
235,"351.75"
236,"275.40"
237,"302.00"
238,"215.40"
239,"158.00"
240,"355.75"
241,"386.40"
242,"504.67"
243,"56.00"
244,"486.50"
245,"461.00"
246,"721.50"
247,"670.25"
248,"422.67"
249,"377.80"
250,"481.00"
251,"294.40"
252,"390.60"
253,"115.67"
254,"246.00"
255,"396.67"
256,"351.25"
257,"492.25"
258,"152.50"
259,"430.00"
260,"440.75"
261,"226.00"
262,"273.00"
263,"297.50"
264,"372.00"
265,"522.40"
266,"645.50"
267,"455.25"
268,"426.00"
269,"323.33"
270,"290.33"
271,"259.60"
272,"212.67"
273,"264.00"
274,"358.25"
275,"350.00"
276,"389.67"
277,"489.00"
278,"497.50"
279,"314.00"
280,"609.50"
281,"344.33"
282,"936.00"
283,"330.33"
284,"322.50"
285,"487.00"
286,"378.71"
287,"309.29"
288,"353.00"
289,"674.80"
290,"420.40"
291,"315.00"
292,"371.29"
293,"496.50"
294,"408.20"
295,"261.75"
296,"249.40"
297,"149.33"
298,"349.33"
299,"520.00"
300,"415.25"
301,"116.00"
302,"407.20"
303,"492.00"
304,"440.00"
305,"172.00"
306,"456.63"
307,"221.33"
308,"127.50"
309,"160.50"
310,"579.43"
311,"181.00"
312,"244.00"
313,"383.20"
314,"263.83"
315,"482.67"
316,"410.00"
317,"576.67"
318,"426.67"
319,"409.33"
320,"439.25"
321,"489.89"
322,"411.33"
323,"296.25"
