"user_id","total_revenue_by_user"
1,"1206.00"
2,"590.00"
3,"2154.00"
4,"329.00"
5,"51.00"
6,"1629.00"
7,"1986.00"
8,"1392.00"
9,"1901.00"
10,"1403.00"
11,"600.00"
12,"4792.00"
13,"694.00"
14,"1027.00"
15,"1741.00"
16,"386.00"
17,"3289.00"
18,"1527.00"
19,"895.00"
20,"1052.00"
21,"2894.00"
22,"858.00"
23,"262.00"
24,"75.00"
25,"1917.00"
26,"889.00"
27,"2023.00"
28,"1817.00"
29,"2603.00"
30,"1160.00"
31,"965.00"
32,"831.00"
33,"1120.00"
34,"2607.00"
35,"416.00"
36,"758.00"
37,"445.00"
38,"1774.00"
39,"4169.00"
40,"963.00"
41,"435.00"
42,"859.00"
43,"122.00"
44,"1324.00"
45,"1700.00"
46,"1443.00"
47,"921.00"
48,"701.00"
49,"1047.00"
50,"2534.00"
51,"273.00"
52,"552.00"
53,"3272.00"
54,"852.00"
55,"578.00"
56,"260.00"
57,"1384.00"
58,"1495.00"
59,"2348.00"
60,"2599.00"
61,"2476.00"
62,"873.00"
63,"587.00"
64,"1993.00"
65,"1815.00"
66,"136.00"
67,"1631.00"
68,"390.00"
69,"3232.00"
70,"626.00"
71,"773.00"
72,"250.00"
73,"1572.00"
74,"1313.00"
75,"1485.00"
76,"819.00"
77,"1485.00"
78,"1589.00"
79,"3761.00"
80,"3227.00"
81,"1793.00"
82,"855.00"
83,"271.00"
84,"893.00"
85,"1832.00"
86,"916.00"
87,"1595.00"
88,"200.00"
90,"1086.00"
91,"1463.00"
92,"2301.00"
93,"2504.00"
94,"1689.00"
95,"858.00"
96,"75.00"
97,"1223.00"
98,"1390.00"
99,"3675.00"
100,"595.00"
101,"2336.00"
102,"1731.00"
103,"2014.00"
104,"1914.00"
105,"2467.00"
106,"1520.00"
107,"877.00"
108,"502.00"
109,"1793.00"
110,"1318.00"
111,"424.00"
112,"506.00"
113,"1040.00"
114,"363.00"
115,"463.00"
116,"1389.00"
117,"642.00"
118,"2203.00"
119,"953.00"
120,"1247.00"
121,"1835.00"
122,"877.00"
123,"2782.00"
124,"2500.00"
125,"1280.00"
126,"380.00"
127,"653.00"
128,"801.00"
129,"1611.00"
130,"1836.00"
131,"1343.00"
132,"380.00"
133,"2629.00"
134,"187.00"
135,"1248.00"
136,"2775.00"
137,"3405.00"
138,"992.00"
139,"1258.00"
140,"987.00"
141,"2642.00"
142,"1591.00"
143,"468.00"
144,"1582.00"
145,"261.00"
146,"1374.00"
147,"1072.00"
148,"2054.00"
149,"1798.00"
150,"1856.00"
151,"1760.00"
152,"2247.00"
153,"1440.00"
154,"1950.00"
155,"848.00"
156,"2900.00"
157,"1937.00"
158,"2752.00"
159,"2193.00"
160,"1771.00"
161,"2014.00"
162,"2274.00"
163,"231.00"
164,"2554.00"
165,"305.00"
166,"323.00"
167,"1651.00"
168,"2066.00"
169,"1914.00"
170,"3674.00"
171,"2386.00"
172,"1475.00"
173,"3162.00"
174,"696.00"
175,"657.00"
176,"965.00"
177,"1672.00"
178,"2736.00"
179,"491.00"
180,"3200.00"
181,"2455.00"
182,"241.00"
183,"5880.00"
184,"3828.00"
185,"421.00"
186,"898.00"
187,"2480.00"
188,"1204.00"
189,"1104.00"
190,"4994.00"
191,"3627.00"
192,"2851.00"
193,"2243.00"
194,"2630.00"
195,"905.00"
196,"2050.00"
197,"3953.00"
198,"1074.00"
199,"373.00"
200,"2147.00"
201,"2042.00"
202,"4615.00"
203,"865.00"
204,"1575.00"
205,"2401.00"
206,"2937.00"
207,"2070.00"
208,"1188.00"
209,"1213.00"
210,"1977.00"
211,"2753.00"
212,"3041.00"
213,"4651.00"
214,"1452.00"
215,"1908.00"
216,"1038.00"
217,"2669.00"
218,"2947.00"
219,"2579.00"
220,"889.00"
221,"1418.00"
222,"1431.00"
223,"2774.00"
224,"3979.00"
225,"2138.00"
226,"574.00"
227,"3637.00"
228,"1816.00"
229,"105.00"
230,"2804.00"
231,"1605.00"
232,"735.00"
233,"3261.00"
234,"2793.00"
235,"1407.00"
236,"1377.00"
237,"302.00"
238,"1077.00"
239,"158.00"
240,"1423.00"
241,"1932.00"
242,"1514.00"
243,"56.00"
244,"2919.00"
245,"922.00"
246,"1443.00"
247,"2681.00"
248,"3804.00"
249,"1889.00"
250,"1924.00"
251,"1472.00"
252,"1953.00"
253,"347.00"
254,"984.00"
255,"2380.00"
256,"2810.00"
257,"1969.00"
258,"305.00"
259,"1290.00"
260,"1763.00"
261,"226.00"
262,"819.00"
263,"1190.00"
264,"1860.00"
265,"2612.00"
266,"2582.00"
267,"1821.00"
268,"426.00"
269,"1940.00"
270,"1742.00"
271,"2596.00"
272,"638.00"
273,"792.00"
274,"1433.00"
275,"2450.00"
276,"1169.00"
277,"3423.00"
278,"995.00"
279,"628.00"
280,"1219.00"
281,"2066.00"
282,"936.00"
283,"991.00"
284,"1290.00"
285,"1461.00"
286,"2651.00"
287,"2165.00"
288,"4236.00"
289,"3374.00"
290,"2102.00"
291,"630.00"
292,"2599.00"
293,"993.00"
