"user_id","order_quantity"
1,"4"
2,"2"
3,"4"
4,"2"
5,"1"
6,"2"
7,"4"
8,"4"
9,"3"
10,"6"
11,"1"
12,"13"
13,"2"
14,"2"
15,"5"
16,"2"
17,"7"
18,"6"
19,"3"
20,"3"
21,"7"
22,"4"
23,"2"
24,"1"
25,"4"
26,"1"
27,"4"
28,"3"
29,"6"
30,"3"
31,"3"
32,"2"
33,"3"
34,"4"
35,"1"
36,"2"
37,"2"
38,"5"
39,"12"
40,"2"
41,"2"
42,"1"
43,"1"
44,"3"
45,"3"
46,"3"
47,"3"
48,"2"
49,"3"
50,"5"
51,"2"
52,"2"
53,"7"
54,"3"
55,"2"
56,"1"
57,"5"
58,"3"
59,"7"
60,"6"
61,"7"
62,"3"
63,"4"
64,"5"
65,"5"
66,"1"
67,"4"
68,"1"
69,"7"
70,"2"
71,"2"
72,"1"
73,"3"
74,"3"
75,"4"
76,"3"
77,"3"
78,"2"
79,"8"
80,"9"
81,"2"
82,"1"
83,"2"
84,"3"
85,"5"
86,"2"
87,"2"
88,"1"
90,"2"
91,"6"
92,"7"
93,"4"
94,"3"
95,"2"
96,"1"
97,"3"
98,"4"
99,"8"
100,"2"
101,"7"
102,"3"
103,"3"
104,"4"
105,"6"
106,"6"
107,"2"
108,"1"
109,"3"
110,"4"
111,"1"
112,"1"
113,"3"
114,"2"
115,"2"
116,"6"
117,"3"
118,"10"
119,"3"
120,"4"
121,"4"
122,"3"
123,"7"
124,"5"
125,"3"
126,"1"
127,"3"
128,"3"
129,"5"
130,"3"
131,"3"
132,"2"
133,"6"
134,"1"
135,"3"
136,"9"
137,"7"
138,"3"
139,"3"
140,"2"
141,"6"
142,"4"
143,"1"
144,"4"
145,"1"
146,"3"
147,"5"
148,"7"
149,"5"
150,"6"
151,"5"
152,"5"
153,"4"
154,"4"
155,"3"
156,"5"
157,"5"
158,"7"
159,"4"
160,"3"
161,"5"
162,"5"
163,"1"
164,"4"
165,"2"
166,"1"
167,"5"
168,"4"
169,"3"
170,"8"
171,"6"
172,"5"
173,"7"
174,"4"
175,"2"
176,"4"
177,"2"
178,"7"
179,"1"
180,"7"
181,"5"
182,"1"
183,"10"
184,"12"
185,"2"
186,"2"
187,"4"
188,"3"
189,"4"
190,"11"
191,"5"
192,"8"
193,"5"
194,"8"
195,"5"
196,"4"
197,"9"
198,"3"
199,"1"
200,"5"
201,"4"
202,"6"
203,"3"
204,"3"
205,"5"
206,"8"
207,"5"
208,"6"
209,"3"
210,"5"
211,"5"
212,"8"
213,"9"
214,"3"
215,"5"
216,"4"
217,"5"
218,"7"
219,"5"
220,"2"
221,"3"
222,"3"
223,"7"
224,"6"
225,"4"
226,"3"
227,"11"
228,"4"
229,"1"
230,"7"
231,"4"
232,"2"
233,"6"
234,"8"
235,"4"
236,"5"
237,"1"
238,"5"
239,"1"
240,"4"
241,"5"
242,"3"
243,"1"
244,"6"
245,"2"
246,"2"
247,"4"
248,"9"
249,"5"
250,"4"
251,"5"
252,"5"
253,"3"
254,"4"
255,"6"
256,"8"
257,"4"
258,"2"
259,"3"
260,"4"
261,"1"
262,"3"
263,"4"
264,"5"
265,"5"
266,"4"
267,"4"
268,"1"
269,"6"
270,"6"
271,"10"
272,"3"
273,"3"
274,"4"
275,"7"
276,"3"
277,"7"
278,"2"
279,"2"
280,"2"
281,"6"
282,"1"
283,"3"
284,"4"
285,"3"
