"user_id","age"
10597,"44"
4521,"34"
5778,"22"
8636,"19"
15773,"30"
2181,"17"
837,"19"
632,"52"
11407,"20"
4744,"16"
8201,"33"
21402,"36"
4057,"28"
3389,"18"
16146,"55"
16746,"14"
15544,"38"
19076,"41"
3455,"38"
5867,"55"
10352,"17"
6275,"35"
6267,"45"
4403,"24"
185,"47"
17719,"38"
5055,"23"
9950,"19"
16056,"32"
13158,"34"
6488,"49"
1835,"28"
10180,"28"
15978,"18"
13913,"54"
4149,"31"
15608,"34"
12849,"19"
18312,"51"
3832,"49"
14907,"49"
10137,"35"
3176,"16"
16734,"25"
15366,"32"
17760,"26"
21340,"45"
10542,"44"
15102,"39"
4231,"23"
9957,"15"
591,"51"
14396,"34"
5833,"24"
4706,"43"
1803,"33"
15028,"29"
8890,"35"
5209,"18"
6174,"36"
9217,"17"
13885,"44"
21208,"19"
625,"51"
12848,"20"
12006,"35"
6552,"38"
3673,"23"
14117,"31"
18904,"16"
14283,"41"
17031,"24"
19377,"41"
17020,"28"
5818,"21"
1826,"32"
3651,"32"
20784,"38"
5026,"53"
5317,"18"
12562,"31"
1824,"46"
12379,"52"
17385,"31"
18406,"22"
6493,"30"
17200,"44"
14374,"53"
9032,"35"
21000,"18"
13337,"27"
2243,"35"
8942,"17"
14079,"54"
13943,"33"
12217,"24"
14866,"24"
14768,"46"
15632,"46"
9021,"19"
7760,"55"
11212,"22"
7034,"42"
1556,"35"
12806,"22"
19262,"52"
12526,"49"
7080,"55"
5351,"18"
11752,"34"
13932,"43"
19112,"54"
4449,"33"
2015,"19"
18987,"34"
8614,"45"
9634,"23"
20897,"29"
16985,"33"
8755,"25"
20680,"34"
6787,"23"
10139,"46"
6640,"51"
8115,"39"
19085,"36"
6601,"28"
686,"18"
10928,"28"
3875,"44"
3421,"34"
18092,"28"
17500,"45"
8267,"14"
15364,"52"
16670,"25"
20039,"26"
19663,"25"
1245,"30"
17203,"52"
7241,"52"
5807,"41"
14136,"26"
8889,"28"
3180,"20"
18517,"48"
18023,"13"
15856,"30"
21130,"15"
11819,"35"
5725,"33"
7432,"29"
5610,"50"
7360,"24"
18553,"17"
4606,"38"
18959,"22"
15683,"33"
7614,"41"
902,"48"
9496,"30"
19573,"49"
3122,"17"
12627,"17"
827,"20"
19157,"27"
12580,"48"
15213,"26"
5017,"14"
109,"51"
20430,"20"
9914,"22"
12013,"48"
7730,"18"
8962,"30"
2006,"17"
2881,"23"
6887,"25"
17908,"44"
5671,"54"
6755,"14"
16262,"45"
1505,"36"
20996,"19"
12419,"43"
9965,"28"
20898,"43"
6907,"39"
12014,"31"
13135,"17"
12571,"55"
21041,"42"
6587,"52"
21001,"54"
4153,"47"
13331,"28"
1253,"44"
13329,"22"
14523,"51"
4883,"47"
19337,"19"
4995,"14"
8044,"45"
19748,"16"
19515,"35"
8389,"47"
12062,"33"
16190,"19"
6780,"24"
9568,"32"
6150,"29"
7481,"37"
9850,"34"
16466,"48"
7693,"41"
8555,"51"
7268,"52"
14988,"14"
10165,"28"
8801,"23"
869,"43"
1215,"24"
20119,"37"
939,"15"
1428,"48"
909,"43"
2939,"18"
17592,"35"
9948,"36"
5980,"21"
3863,"30"
10794,"15"
9530,"52"
10708,"30"
17328,"17"
10450,"49"
8643,"39"
6793,"49"
18942,"16"
17707,"13"
17575,"55"
19002,"35"
7739,"39"
18745,"50"
10256,"22"
1304,"26"
2623,"41"
16859,"52"
2474,"35"
4426,"42"
16848,"46"
8527,"51"
19613,"39"
10059,"24"
20474,"23"
14312,"26"
18297,"37"
17277,"16"
19690,"28"
12337,"38"
16317,"50"
9224,"30"
954,"39"
2410,"19"
15165,"50"
11086,"33"
1335,"39"
517,"52"
17290,"21"
12622,"28"
18407,"47"
9589,"17"
2701,"41"
12941,"26"
13394,"24"
7452,"40"
18632,"18"
8366,"51"
13151,"28"
13973,"46"
1644,"32"
6125,"26"
13328,"36"
19778,"26"
1276,"23"
6702,"48"
19260,"43"
3242,"29"
961,"33"
18754,"37"
12071,"35"
12166,"46"
11316,"27"
3931,"29"
19336,"51"
6864,"45"
4337,"26"
4667,"55"
20504,"28"
4634,"34"
7,"29"
2658,"36"
14077,"15"
19577,"23"
5018,"32"
7977,"32"
17073,"20"
7999,"49"
18691,"21"
1771,"51"
8895,"26"
9582,"52"
61,"30"
18960,"40"
1906,"37"
18243,"17"
246,"36"
3443,"51"
1163,"45"
12635,"27"
20539,"49"
3607,"28"
6952,"17"
17817,"31"
14540,"39"
11408,"32"
20841,"39"
5124,"26"
11864,"33"
18193,"19"
2751,"52"
5924,"15"
8842,"39"
20899,"31"
4424,"17"
7368,"42"
10916,"33"
13370,"22"
20639,"47"
3849,"39"
19006,"48"
14997,"41"
2135,"50"
8306,"45"
11284,"19"
10214,"24"
5575,"41"
17561,"51"
2555,"40"
2010,"44"
15273,"39"
10054,"18"
474,"46"
12794,"53"
9673,"36"
17455,"20"
1413,"53"
10840,"17"
18042,"25"
13841,"30"
18725,"40"
18007,"16"
14671,"24"
1578,"20"
16294,"34"
11696,"36"
18003,"49"
12211,"40"
15117,"35"
1595,"18"
8768,"25"
12803,"50"
3783,"40"
215,"49"
838,"15"
10344,"13"
150,"34"
7019,"52"
17547,"23"
7382,"34"
13789,"45"
114,"34"
3795,"53"
9935,"40"
7858,"38"
16009,"20"
16328,"34"
6317,"39"
12106,"35"
11716,"44"
16456,"29"
1643,"52"
20068,"16"
16584,"17"
5294,"21"
10238,"19"
8848,"54"
15323,"34"
9584,"26"
15620,"37"
1549,"32"
9409,"38"
5000,"16"
5462,"19"
19107,"26"
7181,"55"
7442,"27"
7671,"48"
6423,"43"
4899,"51"
8405,"35"
7188,"21"
918,"38"
10804,"27"
16283,"41"
15924,"16"
7486,"33"
10845,"18"
13849,"21"
1547,"33"
8679,"18"
14232,"50"
16420,"46"
20619,"23"
3881,"15"
3502,"34"
14683,"27"
8400,"22"
19979,"53"
9079,"46"
8491,"50"
17223,"16"
7059,"46"
798,"46"
2992,"34"
3351,"15"
19710,"49"
5206,"54"
4528,"35"
13055,"46"
11397,"51"
9858,"48"
7289,"25"
2622,"18"
3686,"37"
9190,"20"
8131,"54"
17034,"21"
14217,"28"
13632,"45"
12914,"45"
2699,"54"
6913,"27"
9595,"52"
20491,"33"
8502,"46"
17582,"46"
14509,"26"
4072,"38"
8436,"27"
17512,"42"
16636,"47"
4902,"17"
11762,"48"
3011,"54"
16906,"16"
770,"41"
20312,"15"
5550,"41"
9960,"42"
12937,"48"
6891,"24"
3969,"19"
5813,"36"
4137,"34"
15537,"46"
8116,"55"
6089,"41"
11509,"47"
17964,"31"
14659,"39"
15105,"30"
18114,"46"
12306,"20"
1994,"48"
7249,"16"
2913,"46"
12988,"14"
5600,"38"
17102,"34"
2632,"46"
4519,"27"
18154,"52"
15869,"34"
624,"32"
7265,"37"
2027,"41"
20921,"43"
15902,"33"
11718,"17"
18210,"46"
14971,"36"
16249,"31"
21291,"54"
9000,"50"
20742,"53"
20427,"54"
1745,"34"
10704,"38"
11494,"52"
19208,"21"
14801,"37"
18715,"16"
17232,"39"
4186,"55"
19587,"14"
209,"35"
7003,"29"
1605,"14"
14495,"14"
15904,"35"
13663,"16"
11070,"54"
12517,"32"
10326,"30"
2702,"36"
19667,"37"
3419,"31"
8019,"46"
16247,"49"
6523,"25"
18115,"30"
16973,"33"
9391,"24"
16917,"34"
21170,"41"
254,"36"
20417,"54"
2447,"36"
8401,"23"
9413,"26"
11162,"50"
8447,"35"
5644,"29"
13241,"55"
14622,"41"
15842,"41"
20618,"30"
16006,"40"
17689,"46"
3776,"31"
11461,"45"
4535,"40"
4968,"47"
21137,"17"
2083,"49"
1838,"23"
8501,"16"
18256,"29"
19447,"14"
9525,"29"
5762,"33"
19687,"54"
19586,"47"
198,"29"
21059,"40"
14359,"38"
8554,"15"
9189,"37"
1971,"35"
8973,"46"
2209,"13"
15665,"35"
11097,"51"
10431,"19"
548,"15"
19798,"52"
4988,"13"
8486,"14"
16261,"24"
14707,"22"
4132,"33"
3007,"15"
18483,"18"
4766,"41"
8675,"48"
2958,"43"
20558,"28"
2659,"51"
21065,"23"
3400,"18"
1224,"34"
15441,"19"
18183,"54"
21115,"51"
20318,"34"
15757,"50"
5746,"18"
19096,"14"
4374,"33"
17318,"43"
7089,"49"
16496,"18"
15347,"54"
15118,"42"
15426,"52"
10666,"26"
1897,"19"
19732,"29"
21267,"28"
14327,"32"
842,"54"
20767,"19"
7200,"55"
5382,"54"
13071,"20"
5935,"26"
9746,"21"
16695,"26"
20874,"15"
16735,"19"
687,"14"
1590,"46"
18408,"41"
