user_id,birth_date,gender,city,traffic_source
10597,1978-01-28,male,Moscow,ads
4521,1988-04-09,female,Moscow,organic
5778,2000-05-04,male,Saint Petersburg,organic
8636,2003-04-18,female,Moscow,ads
15773,1992-03-31,male,Moscow,ads
2181,2005-05-17,female,Moscow,organic
837,2002-12-01,female,Saint Petersburg,referral
632,1970-02-07,male,Saint Petersburg,referral
11407,2002-04-22,female,Moscow,referral
4744,2005-09-19,male,Moscow,ads
8201,1988-11-20,male,Moscow,organic
21402,1986-07-29,female,Saint Petersburg,organic
4057,1993-12-24,female,Saint Petersburg,organic
3389,2003-12-29,female,Moscow,referral
16146,1967-08-21,male,Moscow,organic
16746,2007-09-01,female,Novosibirsk,ads
15544,1983-09-05,female,Saint Petersburg,ads
19076,1981-04-13,male,Kazan,referral
3455,1983-10-02,female,Moscow,organic
5867,1967-06-18,male,Moscow,referral
10352,2005-01-02,female,Moscow,organic
6275,1987-05-20,male,Moscow,ads
6267,1977-01-14,male,Saint Petersburg,ads
4403,1998-05-06,male,Moscow,organic
185,1974-12-15,male,Moscow,organic
17719,1984-01-23,female,Saint Petersburg,ads
5055,1998-11-15,male,Novosibirsk,organic
9950,2003-07-30,female,Moscow,organic
16056,1990-01-22,male,Saint Petersburg,organic
13158,1988-08-15,female,Yekaterinburg,organic
6488,1972-10-27,female,Moscow,ads
1835,1993-09-01,male,Moscow,organic
10180,1993-10-18,male,Saint Petersburg,referral
15978,2004-03-15,female,Saint Petersburg,organic
13913,1968-03-13,female,Moscow,referral
4149,1990-09-11,female,Moscow,organic
15608,1988-02-24,female,Moscow,organic
12849,2003-06-08,female,Moscow,organic
18312,1971-07-04,male,Moscow,organic
3832,1972-12-05,male,Moscow,ads
14907,1973-05-22,male,Moscow,organic
10137,1987-03-09,female,Moscow,referral
3176,2005-10-03,male,Kazan,ads
16734,1997-08-16,female,Moscow,ads
15366,1990-02-15,male,Saint Petersburg,organic
17760,1995-10-05,male,Moscow,organic
21340,1977-02-23,male,Moscow,ads
