"user_id","user_to_total_revenue"
1,"0.00556"
2,"0.00272"
3,"0.00994"
4,"0.00152"
5,"0.00024"
6,"0.00751"
7,"0.00916"
8,"0.00642"
9,"0.00877"
10,"0.00647"
11,"0.00277"
12,"0.02210"
13,"0.00320"
14,"0.00474"
15,"0.00803"
16,"0.00178"
17,"0.01517"
18,"0.00704"
19,"0.00413"
20,"0.00485"
21,"0.01335"
22,"0.00396"
23,"0.00121"
24,"0.00035"
25,"0.00884"
26,"0.00410"
27,"0.00933"
28,"0.00838"
29,"0.01201"
30,"0.00535"
31,"0.00445"
32,"0.00383"
33,"0.00517"
34,"0.01202"
35,"0.00192"
36,"0.00350"
37,"0.00205"
38,"0.00818"
39,"0.01923"
40,"0.00444"
41,"0.00201"
42,"0.00396"
43,"0.00056"
44,"0.00611"
45,"0.00784"
46,"0.00666"
47,"0.00425"
48,"0.00323"
49,"0.00483"
50,"0.01169"
51,"0.00126"
52,"0.00255"
53,"0.01509"
54,"0.00393"
55,"0.00267"
56,"0.00120"
57,"0.00638"
58,"0.00690"
59,"0.01083"
60,"0.01199"
61,"0.01142"
62,"0.00403"
63,"0.00271"
64,"0.00919"
65,"0.00837"
66,"0.00063"
67,"0.00752"
68,"0.00180"
69,"0.01491"
70,"0.00289"
71,"0.00357"
72,"0.00115"
73,"0.00725"
74,"0.00606"
75,"0.00685"
76,"0.00378"
77,"0.00685"
78,"0.00733"
79,"0.01735"
80,"0.01488"
81,"0.00827"
82,"0.00394"
83,"0.00125"
84,"0.00412"
85,"0.00845"
86,"0.00423"
87,"0.00736"
88,"0.00092"
90,"0.00501"
91,"0.00675"
92,"0.01061"
93,"0.01155"
94,"0.00779"
95,"0.00396"
96,"0.00035"
97,"0.00564"
98,"0.00641"
99,"0.01695"
100,"0.00274"
101,"0.01077"
102,"0.00798"
103,"0.00929"
104,"0.00883"
105,"0.01138"
106,"0.00701"
107,"0.00405"
108,"0.00232"
109,"0.00827"
110,"0.00608"
111,"0.00196"
112,"0.00233"
113,"0.00480"
114,"0.00167"
115,"0.00214"
116,"0.00641"
117,"0.00296"
118,"0.01016"
119,"0.00440"
120,"0.00575"
121,"0.00846"
122,"0.00405"
123,"0.01283"
124,"0.01153"
125,"0.00590"
126,"0.00175"
127,"0.00301"
128,"0.00369"
129,"0.00743"
130,"0.00847"
131,"0.00619"
132,"0.00175"
133,"0.01213"
134,"0.00086"
135,"0.00576"
136,"0.01280"
